Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_297.jpg,2.457546,0,0,0,104.1041,191.0347,0.0002311863,251.5971,-6.926834E-06
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_338.jpg,0,0,0,0,104.1041,191.0347,0.0002311375,251.6712,-6.801801E-06
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_378.jpg,0.833748,0,0,0,104.1041,191.0347,0.0002308696,251.7213,-6.600175E-06
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_420.jpg,2.456549,0,0,0,104.1041,191.0347,0.0002317924,251.9678,-6.876247E-06
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_461.jpg,4.075431,0,0,0,104.1041,191.0347,0.0002315398,252.3606,-7.595648E-06
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_507.jpg,6.494127,0,0,0,104.1041,191.0347,0.0002320837,252.9949,-9.210935E-06
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_548.jpg,8.50398,0,0,0,104.1041,191.0347,0.000232159,253.869,-1.129538E-05
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_588.jpg,10.59831,0,0,0,104.1041,191.0347,0.0002328498,254.9907,-1.483187E-05
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_629.jpg,11.83952,0,0,0,104.1041,191.0347,0.0002319253,256.3321,-1.949639E-05
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_679.jpg,10.33524,0,0,0,104.1041,191.0347,0.0002308752,258.3465,-2.329753E-05
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_720.jpg,11.12173,0.06532706,0,0,104.1041,191.0347,0.001611778,258.9881,2.342244E-05
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_760.jpg,11.53923,0.1854622,0,0.01015939,104.1041,191.0344,0.007707322,258.9754,0.000674483
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_801.jpg,9.490794,0.3087088,0,0.01312721,104.1041,191.0338,0.02087038,259.0775,0.003279675
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_843.jpg,6.943135,0.4360918,0,0.02952027,104.1039,191.0324,0.04988215,259.0996,0.004183331
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_884.jpg,4.548247,0.5558361,0,0.04238759,104.1036,191.0305,0.08938172,259.1308,0.006534936
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_924.jpg,2.102119,0.6781426,0,0.05862906,104.1031,191.0271,0.1570409,259.0757,0.008132738
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_30_964.jpg,0,0.7969276,0,0.08419307,104.1021,191.0223,0.2544799,259.1122,0.008005049
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_005.jpg,0,0.9195082,0,0.126581,104.1009,191.0156,0.386461,259.1345,0.007272196
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_046.jpg,0,1,0,0.1517714,104.0993,191.0078,0.524294,258.9995,-0.0002757938
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_086.jpg,0,1,0,0.1868651,104.0974,190.9982,0.6805942,258.9921,-0.0007600856
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_128.jpg,0,1,0,0.2117712,104.0953,190.9873,0.8422736,259.1544,-0.002101684
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_169.jpg,0,1,0,0.2402865,104.093,190.9753,1.005069,259.2972,-0.00189691
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_210.jpg,0,1,0,0.2761113,104.0905,190.9616,1.177539,259.5098,-0.002500777
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_253.jpg,0,1,0,0.3190095,104.0861,190.9399,1.3422,259.6388,-0.0038982
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_294.jpg,0,1,0,0.3482838,104.0834,190.9271,1.264778,259.7849,-0.005216013
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_335.jpg,0,1,0,0.401078,104.0807,190.9126,1.171608,259.7753,-0.0002870747
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_375.jpg,0,1,0,0.4282293,104.0776,190.8962,1.109694,259.8023,-0.0009072179
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_416.jpg,0,1,0,0.4644644,104.0743,190.8782,1.077453,259.8657,-0.0008634378
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_457.jpg,0,1,0,0.480877,104.0707,190.8588,1.063962,259.8073,0.0004603834
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_497.jpg,0,1,0,0.5283872,104.0668,190.8374,1.083989,259.7031,0.001016619
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_544.jpg,0,1,0,0.5747933,104.0626,190.8148,1.115275,259.6761,1.688524E-05
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_590.jpg,0,1,0,0.6100855,104.0581,190.7902,1.174111,259.7469,-0.0008232706
C:\Users\alexk\Documents\GitHub\IMG\IMG\robocam_2017_05_25_14_04_31_630.jpg,0,1,0,0.6278866,104.0535,190.7652,1.212959,259.7551,-0.0008068235
