Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
..\data rocks\IMG\robocam_2017_05_28_15_42_21_246.jpg,-2.998376,0,0,0,99.67,85.58897,0.00025451,26.27888,-4.44E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_313.jpg,-6.011775,0,0,0,99.67,85.58897,0.000253078,25.01743,-4.15E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_380.jpg,-9.01285,0,0,0,99.67,85.58897,0.000253118,23.48543,-3.68E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_447.jpg,-12.0209,0,0,0,99.67,85.58897,0.000251991,21.50243,-2.96E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_513.jpg,-15,0,0,0,99.67,85.58897,0.000250534,18.07973,-1.71E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_580.jpg,-15,0,0,0,99.67,85.58897,0.000248534,15.37974,-7.84E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_21_647.jpg,-15,0,0,0,99.67,85.58897,0.000246202,12.67975,7.04E-07
..\data rocks\IMG\robocam_2017_05_28_15_42_21_714.jpg,-15,0,0,0,99.67,85.58897,0.000243278,9.079712,9.57E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_21_781.jpg,-15,0,0,0,99.67,85.58897,0.00024148,6.379723,1.48E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_848.jpg,-15,0,0,0,99.67,85.58897,0.000239962,3.679665,1.92E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_914.jpg,-15,0,0,0,99.67,85.58897,0.000237199,0.07967377,2.44E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_21_981.jpg,-15,0,0,0,99.67,85.58897,0.000234985,357.3797,2.71E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_048.jpg,-15,0,0,0,99.67,85.58897,0.000233209,354.6797,2.93E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_115.jpg,-15,0,0,0,99.67,85.58897,0.000231853,351.0797,3.04E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_181.jpg,-15,0,0,0,99.67,85.58897,0.000231045,348.3796,3.14E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_248.jpg,-15,0,0,0,99.67,85.58897,0.000232117,345.6796,3.11E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_315.jpg,-15,0,0,0,99.67,85.58897,0.000236514,342.0797,2.96E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_382.jpg,-15,0,0,0,99.67,85.58897,0.000237649,339.3797,2.81E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_448.jpg,-15,0,0,0,99.67,85.58897,0.000239275,336.6796,2.58E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_515.jpg,-15,0,0,0,99.67,85.58897,0.000244167,333.0797,2.34E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_582.jpg,-15,0,0,0,99.67,85.58897,0.000246001,330.3797,2.17E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_649.jpg,-15,0,0,0,99.67,85.58897,0.000248823,327.6797,2.02E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_715.jpg,-15,0,0,0,99.66999,85.58897,0.000253663,324.0797,1.81E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_782.jpg,-15,0,0,0,99.66999,85.58897,0.000257669,321.3797,1.69E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_849.jpg,-15,0,0,0,99.66999,85.58897,0.000262482,318.6797,1.60E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_22_916.jpg,-15,0,0,0,99.66999,85.58897,0.000268345,315.0797,1.74E-05
